dis.Date,rep,row,line,treatment,genotype,pot,visible.leaves,ligulated.leaves,SAM_nscore,ratio
05/03/2024,9,1,17,nightbreak,Tzi9,1553,9.2,5,5,3.735294118
04/03/2024,10,4,19,control,CML258,1579,10.5,7,2,1.5
05/03/2024,10,4,20,control,CML373,1580,9.2,6,4,2.705263158
04/03/2024,9,5,17,nightbreak,CML277,1637,9.2,5,3,1.479452055
05/03/2024,10,5,20,nightbreak,BA90,1640,11.5,7,7,5.783783784
04/03/2024,9,6,18,control,CML373,1698,9.5,5,5,4.128571429
05/03/2024,10,6,20,control,LH123Ht,1700,9.2,5,7,6.1375
05/03/2024,10,7,19,nightbreak,LH123Ht,1759,9.2,6,6,5.174757282
05/03/2024,10,7,20,nightbreak,2369,1760,10.5,6,4,2.872928177
04/03/2024,9,10,17,control,CML277,1793,8.5,5,6,5.277777778
05/03/2024,9,8,17,control,Tzi8,1817,9.5,6,6,4.406451613
04/03/2024,10,8,20,control,BA90,1820,12.5,7,8,8.129807692
03/03/2024,9,9,17,nightbreak,Tzi8,1877,9.5,6,4,2.722222222
05/03/2024,10,9,19,nightbreak,CML341,1879,10.5,6,3,1.2875
05/03/2024,10,9,20,nightbreak,Tzi8,1880,9.5,6,3,1.724489796
05/03/2024,10,2,19,control,2369,1459,9.5,6,7,4.35483871
05/03/2024,9,3,17,nightbreak,2369,1517,9.8,5,5,3.025974026
03/03/2024,10,5,19,nightbreak,Tzi9,1639,9.5,6,5,2.573033708
05/03/2024,9,6,17,control,2369,1697,10.5,6,7,4.816326531
03/03/2024,10,1,19,nightbreak,B73,1555,11.5,6,6,4.034722222
05/03/2024,10,8,19,control,B73,1819,9.5,6,4,3.295454545
04/03/2024,9,2,17,control,BA90,1457,11.2,7,8,NA
03/03/2024,9,3,18,nightbreak,B73,1518,11.5,7,6,4.011627907
04/03/2024,9,4,17,control,LH123Ht,1577,9.2,5,7,6.352459016
05/03/2024,9,4,18,control,Tzi9,1578,10.5,6,8,7.483870968
05/03/2024,10,6,19,control,Tzi9,1699,10.5,6,8,6.888297872
05/03/2024,9,10,18,control,B73,1794,10.5,6,7,5.098591549
04/03/2024,10,10,19,control,CML341,1795,10.5,6,6,NA
06/03/2024,12,1,24,nightbreak,CML277,1560,8.2,5,3,1.894117647
07/03/2024,12,5,23,nightbreak,Tzi8,1643,10.5,7,3,1.607594937
07/03/2024,11,9,22,nightbreak,CML341,1882,10.2,6,4,2.422727273
06/03/2024,12,6,23,control,Tzi8,1703,9.5,6,6,4.011764706
06/03/2024,11,7,21,nightbreak,Tzi8,1761,10.5,6,3,1.931034483
06/03/2024,11,3,21,nightbreak,CML277,1521,9.5,6,4,2.290322581
06/03/2024,12,7,23,nightbreak,CML341,1763,10.2,6,3,2.063218391
07/03/2024,12,2,23,control,LH123Ht,1463,10.5,6,8,8.565022422
07/03/2024,11,1,21,nightbreak,CML258,1557,9,7,2,1.166666667
07/03/2024,11,1,22,nightbreak,LH123Ht,1558,9.5,6,8,6.378378378
07/03/2024,12,1,23,nightbreak,CML373,1559,9.5,6,1,0.854961832
06/03/2024,12,5,24,nightbreak,CML258,1644,10.8,7,1,1.235294118
07/03/2024,11,10,22,control,CML341,1798,11.2,6,7,5.989795918
07/03/2024,11,8,21,control,Tzi8,1821,9.5,6,6,3.870689655
06/03/2024,11,2,21,control,CML373,1461,10.2,6,5,3.760416667
07/03/2024,11,2,22,control,2369,1462,11,7,8,5.447963801
08/03/2024,12,2,24,control,CML258,1464,10.5,7,2,1.681034483
07/03/2024,11,3,22,nightbreak,CML373,1522,10.2,6,2,1.014084507
07/03/2024,12,3,23,nightbreak,LH123Ht,1523,9.8,6,7,5.086956522
07/03/2024,12,4,24,control,CML373,1584,9.2,6,5,3.434977578
06/03/2024,11,6,21,control,CML258,1701,11,7,1,0.909090909
06/03/2024,11,6,22,control,B73,1702,12,7,7,NA
06/03/2024,12,6,24,control,CML277,1704,9.2,5,6,7.481012658
07/03/2024,12,7,24,nightbreak,2369,1764,10.2,6,6,4
07/03/2024,12,10,24,control,B73,1800,11.5,7,7,5.482758621
06/03/2024,12,8,23,control,CML341,1823,11.5,6,7,9.409638554
07/03/2024,12,9,23,nightbreak,Tzi9,1883,10.5,6,6,4.331877729
07/03/2024,12,3,24,nightbreak,B73,1524,12.5,7,7,5.041420118
07/03/2024,11,4,21,control,CML277,1581,10.5,5,7,6.743589744
06/03/2024,12,8,24,control,BA90,1824,12.5,7,9,NA
07/03/2024,11,9,21,nightbreak,BA90,1881,12.2,6,8,7.548387097
07/03/2024,12,9,24,nightbreak,BA90,1884,12.5,7,8,7.851648352
07/03/2024,11,7,22,nightbreak,Tzi9,1762,10.2,6,6,4.27014218
06/03/2024,11,10,21,control,BA90,1797,12.5,7,9,NA
06/03/2024,12,10,23,control,Tzi9,1799,10.2,6,8,6.898989899
07/03/2024,11,4,22,control,LH123Ht,1582,10.2,6,8,9.057471264
06/03/2024,12,4,23,control,2369,1583,11,6,8,5.619047619
06/03/2024,11,5,21,nightbreak,2369,1641,11.2,7,6,4.521052632
07/03/2024,11,5,22,nightbreak,B73,1642,12.2,7,7,5.438914027
06/03/2024,11,8,22,control,Tzi9,1822,11,6,8,7.040909091
11/03/2024,13,1,26,nightbreak,Tzi8,1610,8.5,5,3,2.116666667
09/03/2024,13,5,26,nightbreak,CML373,1646,10.8,7,4,2.732673267
09/03/2024,14,5,27,nightbreak,CML277,1647,9.5,6,4,3.854166667
11/03/2024,14,2,27,control,Tzi8,1467,8.5,5,4,2.027522936
09/03/2024,14,1,27,nightbreak,CML341,1611,11.5,7,6,4.635869565
09/03/2024,14,7,27,nightbreak,CML373,1767,10.5,7,3,2.440677966
09/03/2024,13,2,25,control,CML373,1465,10.5,7,6,4.434782609
11/03/2024,13,2,26,control,LH123Ht,1466,10.5,6,9,9.409959759
09/03/2024,13,3,26,nightbreak,CML341,1526,11.5,7,6,5.182926829
12/03/2024,14,3,28,nightbreak,2369,1528,11.5,7,7,4.277310924
11/03/2024,14,6,28,control,CML373,1708,10.5,7,5,3.602150538
11/03/2024,13,7,26,nightbreak,CML258,1766,11.2,7,2,1.4875
12/03/2024,13,10,25,control,BA90,1849,13.5,8,10,13.47569039
09/03/2024,13,3,25,nightbreak,CML277,1525,9.5,6,5,3.194656489
11/03/2024,14,3,27,nightbreak,Tzi8,1527,11.2,7,4,2.320261438
11/03/2024,13,4,25,control,CML258,1585,10.8,8,2,1.729166667
11/03/2024,13,4,26,control,Tzi8,1586,11.2,7,6,5.910852713
09/03/2024,14,4,27,control,CML341,1587,12.5,7,8,10.15942029
11/03/2024,14,4,28,control,CML258,1588,10.5,7,2,1.456521739
12/03/2024,13,1,25,nightbreak,B73,1609,12.5,7,8,5.202970297
12/03/2024,14,1,28,nightbreak,BA90,1612,12.5,8,9,9.308749581
11/03/2024,13,5,25,nightbreak,LH123Ht,1645,10.5,6,8,7.544554455
12/03/2024,14,5,28,nightbreak,Tzi9,1648,11.2,7,7,5.551515152
11/03/2024,13,6,26,control,CML341,1706,12.2,7,8,9.269662921
12/03/2024,14,6,27,control,LH123Ht,1707,11.5,7,9,14.62516779
09/03/2024,13,8,26,control,CML277,1826,9.2,5,6,6.959677419
11/03/2024,14,8,27,control,2369,1827,11.5,7,9,6.659574468
12/03/2024,13,10,26,control,2369,1850,11.2,7,9,5.886925795
11/03/2024,14,10,27,control,CML277,1851,10.5,6,7,8.567164179
11/03/2024,14,10,28,control,BA90,1852,13.2,8,10,13.82262817
12/03/2024,13,9,25,nightbreak,2369,1885,10.5,6,7,3.62585034
11/03/2024,14,9,27,nightbreak,CML258,1887,10.2,7,2,1.25
12/03/2024,14,9,28,nightbreak,LH123Ht,1888,10.2,6,8,7.236111111
12/03/2024,13,7,25,nightbreak,BA90,1765,14.5,8,9,11.33874493
12/03/2024,13,8,25,control,B73,1825,13.2,8,8,6.863764611
