genotype,origin,trait_name,value,fpca_source,trait
cml196,mexico,t_i,11.36865342,NA,mean
cml228,mexico,t_i,7.174392936,NA,mean
cml247,mexico,t_i,10.04415011,NA,mean
cml254,mexico,t_i,9.933774834,NA,mean
cml258,mexico,t_i,10.7615894,NA,mean
cml277,mexico,t_i,7.796508128,NA,mean
cml281,mexico,t_i,11.14790287,NA,mean
cml287,mexico,t_i,9.381898455,NA,mean
cml312,mexico,t_i,8.940397351,NA,mean
cml322,mexico,t_i,8.057395143,NA,mean
cml328,mexico,t_i,5.849889625,NA,mean
cml331,mexico,t_i,9.161147903,NA,mean
cml332,mexico,t_i,8.278145695,NA,mean
cml333,mexico,t_i,8.278145695,NA,mean
cml341,mexico,t_i,8.498896247,NA,mean
cml373,mexico,t_i,9.161147903,NA,mean
cml424,mexico,t_i,7.61589404,NA,mean
cml425,mexico,t_i,8.278145695,NA,mean
cml440,mexico,t_i,6.953642384,NA,mean
cml444,mexico,t_i,8.561967833,NA,mean
cml456,mexico,t_i,5.629139073,NA,mean
cml460,mexico,t_i,7.395143488,NA,mean
cml471,mexico,t_i,7.61589404,NA,mean
cml473,mexico,t_i,8.498896247,NA,mean
cml5,mexico,t_i,9.161147903,NA,mean
cml52,mexico,t_i,9.161147903,NA,mean
cml537,mexico,t_i,9.933774834,NA,mean
cml541,mexico,t_i,8.498896247,NA,mean
cml542,mexico,t_i,6.953642384,NA,mean
cml545,mexico,t_i,7.781456954,NA,mean
cml550,mexico,t_i,8.498896247,NA,mean
cml566,mexico,t_i,9.823399558,NA,mean
cml568,mexico,t_i,8.940397351,NA,mean
cml570,mexico,t_i,8.278145695,NA,mean
cml576,mexico,t_i,9.381898455,NA,mean
cml587,mexico,t_i,7.61589404,NA,mean
cml592,mexico,t_i,8.719646799,NA,mean
cml593,mexico,t_i,10.15452539,NA,mean
cml69,mexico,t_i,8.498896247,NA,mean
cuba54_hd102,mexico,t_i,8.145695364,NA,mean
cuba54_hd105,mexico,t_i,9.050772627,NA,mean
czl04021,mexico,t_i,8.057395143,NA,mean
czl1358,mexico,t_i,8.940397351,NA,mean
czl1465,mexico,t_i,10.26490066,NA,mean
czl15003,mexico,t_i,7.61589404,NA,mean
czl15007,mexico,t_i,9.602649007,NA,mean
czl15081,mexico,t_i,NA,NA,mean
czl15123,mexico,t_i,7.836644591,NA,mean
czl15194,mexico,t_i,8.498896247,NA,mean
czl15206,mexico,t_i,9.381898455,NA,mean
czl16020,mexico,t_i,9.602649007,NA,mean
czl16078,mexico,t_i,10.26490066,NA,mean
czl17015,mexico,t_i,6.953642384,NA,mean
czl20003,mexico,t_i,8.719646799,NA,mean
dtma_236,mexico,t_i,8.278145695,NA,mean
dtma_250,mexico,t_i,8.940397351,NA,mean
dtma_29,mexico,t_i,8.057395143,NA,mean
ecua476_ssd01,mexico,t_i,6.51214128,NA,mean
em1197,mexico,t_i,6.953642384,NA,mean
gcp_193,mexico,t_i,9.050772627,NA,mean
guad6_ssd01,mexico,t_i,8.751182592,NA,mean
hip9801a,mexico,t_i,9.161147903,NA,mean
hip9802c,mexico,t_i,10.76158941,NA,mean
hip9803b,mexico,t_i,8.498896247,NA,mean
hip9806a,mexico,t_i,9.161147903,NA,mean
hip9806b,mexico,t_i,9.161147903,NA,mean
hip9810a,mexico,t_i,8.719646799,NA,mean
k64r,mexico,t_i,8.940397351,NA,mean
ki11,mexico,t_i,7.174392936,NA,mean
ki14,mexico,t_i,9.381898455,NA,mean
ki3,mexico,t_i,8.278145696,NA,mean
lh123ht,mexico,t_i,8.057395144,NA,mean
lh195,mexico,t_i,7.836644592,NA,mean
lp1037,mexico,t_i,5.629139073,NA,mean
m37w,mexico,t_i,7.395143488,NA,mean
mo17,mexico,t_i,6.291390728,NA,mean
mor_17,mexico,t_i,7.174392936,NA,mean
nc338,mexico,t_i,7.174392936,NA,mean
nc358,mexico,t_i,7.395143488,NA,mean
nilasq4g31i04,mexico,t_i,7.395143488,NA,mean
nilasq4g31i06,mexico,t_i,7.899716178,NA,mean
nilasq4g41i07,mexico,t_i,7.142857143,NA,mean
nilasq4g71i03,mexico,t_i,7.505518764,NA,mean
oax_70_ssd,mexico,t_i,NA,NA,mean
oaxagp1_ssd01,mexico,t_i,10.48565121,NA,mean
oh43,mexico,t_i,6.291390728,NA,mean
pdz687_hd105,mexico,t_i,6.622516556,NA,mean
pdz689_hd201,mexico,t_i,7.395143488,NA,mean
ph207,mexico,t_i,6.401766004,NA,mean
sc_malawi,mexico,t_i,9.161147903,NA,mean
tams_125,mexico,t_i,9.381898455,NA,mean
tx601,mexico,t_i,11.36865342,NA,mean
tzi8,mexico,t_i,7.676098736,NA,mean
tzi9,mexico,t_i,8.532857871,NA,mean
vl1018816,mexico,t_i,10.70640177,NA,mean
vl1253,mexico,t_i,8.940397351,NA,mean
2369,mexico,fpc1,-8.14967261,fe_b_n,mean
b104,mexico,fpc1,5.123046356,fe_b_n,mean
b37,mexico,fpc1,-8.515233826,fe_b_n,mean
b73,mexico,fpc1,-6.410010709,fe_b_n,mean
ba90,mexico,fpc1,-8.191001384,fe_b_n,mean
barb5_ssd01,mexico,fpc1,-12.97168168,fe_b_n,mean
bov_635,mexico,fpc1,-10.30478305,fe_b_n,mean
brvi142_hd102,mexico,fpc1,-4.097786058,fe_b_n,mean
cal14113,mexico,fpc1,-4.012601015,fe_b_n,mean
cal1440,mexico,fpc1,7.014612505,fe_b_n,mean
cal1469,mexico,fpc1,7.80258031,fe_b_n,mean
cal152,mexico,fpc1,-15.01290654,fe_b_n,mean
cla105,mexico,fpc1,0.906739722,fe_b_n,mean
cla127,mexico,fpc1,-10.00643383,fe_b_n,mean
cla41,mexico,fpc1,-2.212268346,fe_b_n,mean
cml10,mexico,fpc1,0.232162638,fe_b_n,mean
cml103,mexico,fpc1,-1.513484785,fe_b_n,mean
cml196,mexico,fpc1,-2.316898291,fe_b_n,mean
cml228,mexico,fpc1,-9.830692078,fe_b_n,mean
cml247,mexico,fpc1,-5.191329124,fe_b_n,mean
cml254,mexico,fpc1,-3.043480588,fe_b_n,mean
cml258,mexico,fpc1,-0.344286488,fe_b_n,mean
cml277,mexico,fpc1,-5.677210717,fe_b_n,mean
cml281,mexico,fpc1,-6.114915653,fe_b_n,mean
cml287,mexico,fpc1,-1.25699208,fe_b_n,mean
cml312,mexico,fpc1,-14.74214327,fe_b_n,mean
cml322,mexico,fpc1,-3.45575729,fe_b_n,mean
cml328,mexico,fpc1,-5.162098401,fe_b_n,mean
cml331,mexico,fpc1,2.733233592,fe_b_n,mean
cml332,mexico,fpc1,-4.468531127,fe_b_n,mean
cml333,mexico,fpc1,-3.643299534,fe_b_n,mean
cml341,mexico,fpc1,2.051260137,fe_b_n,mean
cml373,mexico,fpc1,-0.020129432,fe_b_n,mean
cml424,mexico,fpc1,-8.311269664,fe_b_n,mean
cml425,mexico,fpc1,-18.00470851,fe_b_n,mean
cml440,mexico,fpc1,-10.60051511,fe_b_n,mean
cml444,mexico,fpc1,-1.602004776,fe_b_n,mean
cml456,mexico,fpc1,-6.169997778,fe_b_n,mean
cml460,mexico,fpc1,-1.578623801,fe_b_n,mean
cml471,mexico,fpc1,-13.77488566,fe_b_n,mean
cml473,mexico,fpc1,-11.14397626,fe_b_n,mean
cml5,mexico,fpc1,-9.27277213,fe_b_n,mean
cml52,mexico,fpc1,-1.504913608,fe_b_n,mean
cml537,mexico,fpc1,-7.63890449,fe_b_n,mean
cml541,mexico,fpc1,-7.187982732,fe_b_n,mean
cml542,mexico,fpc1,-11.47611891,fe_b_n,mean
cml545,mexico,fpc1,-7.197321733,fe_b_n,mean
cml550,mexico,fpc1,-5.945634059,fe_b_n,mean
cml566,mexico,fpc1,-0.368620884,fe_b_n,mean
cml568,mexico,fpc1,-6.125447514,fe_b_n,mean
cml570,mexico,fpc1,-4.531169618,fe_b_n,mean
cml576,mexico,fpc1,-2.133726625,fe_b_n,mean
cml587,mexico,fpc1,-8.071412016,fe_b_n,mean
cml592,mexico,fpc1,-0.082599673,fe_b_n,mean
cml593,mexico,fpc1,-0.962832015,fe_b_n,mean
cml69,mexico,fpc1,2.051130846,fe_b_n,mean
cuba54_hd102,mexico,fpc1,-11.34803528,fe_b_n,mean
cuba54_hd105,mexico,fpc1,-2.723125308,fe_b_n,mean
czl04021,mexico,fpc1,-13.33052523,fe_b_n,mean
czl1358,mexico,fpc1,8.638024779,fe_b_n,mean
czl1465,mexico,fpc1,2.157300898,fe_b_n,mean
czl15003,mexico,fpc1,-10.75094605,fe_b_n,mean
czl15007,mexico,fpc1,-7.846050099,fe_b_n,mean
czl15081,mexico,fpc1,NA,fe_b_n,mean
czl15123,mexico,fpc1,-5.822682848,fe_b_n,mean
czl15194,mexico,fpc1,-4.463615204,fe_b_n,mean
czl15206,mexico,fpc1,3.38609776,fe_b_n,mean
czl16020,mexico,fpc1,0.35024141,fe_b_n,mean
czl16078,mexico,fpc1,1.113754205,fe_b_n,mean
czl17015,mexico,fpc1,-3.994874018,fe_b_n,mean
czl20003,mexico,fpc1,2.537836354,fe_b_n,mean
dtma_236,mexico,fpc1,-1.820343662,fe_b_n,mean
dtma_250,mexico,fpc1,-10.88845068,fe_b_n,mean
dtma_29,mexico,fpc1,-6.101095987,fe_b_n,mean
ecua476_ssd01,mexico,fpc1,-4.966108623,fe_b_n,mean
em1197,mexico,fpc1,-5.318833314,fe_b_n,mean
gcp_193,mexico,fpc1,-9.854634831,fe_b_n,mean
guad6_ssd01,mexico,fpc1,-0.926518305,fe_b_n,mean
hip9801a,mexico,fpc1,-9.35925188,fe_b_n,mean
hip9802c,mexico,fpc1,-11.12315707,fe_b_n,mean
hip9803b,mexico,fpc1,1.75744074,fe_b_n,mean
hip9806a,mexico,fpc1,1.666942579,fe_b_n,mean
hip9806b,mexico,fpc1,-2.16444339,fe_b_n,mean
hip9810a,mexico,fpc1,-3.913853271,fe_b_n,mean
k64r,mexico,fpc1,-10.51722746,fe_b_n,mean
ki11,mexico,fpc1,1.286981976,fe_b_n,mean
ki14,mexico,fpc1,-1.760143547,fe_b_n,mean
ki3,mexico,fpc1,-8.843354697,fe_b_n,mean
lh123ht,mexico,fpc1,-6.458207534,fe_b_n,mean
lh195,mexico,fpc1,-3.692046389,fe_b_n,mean
lp1037,mexico,fpc1,-17.19272936,fe_b_n,mean
m37w,mexico,fpc1,-0.763915259,fe_b_n,mean
mo17,mexico,fpc1,-9.601726113,fe_b_n,mean
mor_17,mexico,fpc1,-12.81794587,fe_b_n,mean
nc338,mexico,fpc1,-14.02296726,fe_b_n,mean
nc358,mexico,fpc1,-18.16945968,fe_b_n,mean
nilasq4g31i04,mexico,fpc1,-8.547645606,fe_b_n,mean
nilasq4g31i06,mexico,fpc1,-4.552650293,fe_b_n,mean
nilasq4g41i07,mexico,fpc1,-7.8463984,fe_b_n,mean
nilasq4g71i03,mexico,fpc1,-7.189926917,fe_b_n,mean
oax_70_ssd,mexico,fpc1,NA,fe_b_n,mean
oaxagp1_ssd01,mexico,fpc1,0.861266519,fe_b_n,mean
oh43,mexico,fpc1,-5.392045644,fe_b_n,mean
pdz687_hd105,mexico,fpc1,-17.51819481,fe_b_n,mean
pdz689_hd201,mexico,fpc1,-18.97871577,fe_b_n,mean
ph207,mexico,fpc1,-8.791514652,fe_b_n,mean
sc_malawi,mexico,fpc1,-1.168827192,fe_b_n,mean
tams_125,mexico,fpc1,-1.440095535,fe_b_n,mean
tx601,mexico,fpc1,-3.176942728,fe_b_n,mean
tzi8,mexico,fpc1,-5.148154531,fe_b_n,mean
tzi9,mexico,fpc1,-1.223297496,fe_b_n,mean
vl1018816,mexico,fpc1,-4.283324449,fe_b_n,mean
vl1253,mexico,fpc1,-2.83313489,fe_b_n,mean
2369,mexico,fpc2,-2.883126951,fe_b_n,mean
b104,mexico,fpc2,3.704909307,fe_b_n,mean
b37,mexico,fpc2,-1.095414338,fe_b_n,mean
b73,mexico,fpc2,0.270033598,fe_b_n,mean
ba90,mexico,fpc2,3.894249806,fe_b_n,mean
barb5_ssd01,mexico,fpc2,1.396843569,fe_b_n,mean
bov_635,mexico,fpc2,-0.288243251,fe_b_n,mean
brvi142_hd102,mexico,fpc2,4.160768667,fe_b_n,mean
cal14113,mexico,fpc2,7.21179692,fe_b_n,mean
cal1440,mexico,fpc2,-0.222834781,fe_b_n,mean
cal1469,mexico,fpc2,5.751966177,fe_b_n,mean
cal152,mexico,fpc2,-0.420729452,fe_b_n,mean
cla105,mexico,fpc2,3.448514224,fe_b_n,mean
cla127,mexico,fpc2,-8.454479179,fe_b_n,mean
cla41,mexico,fpc2,5.703610383,fe_b_n,mean
cml10,mexico,fpc2,3.43986283,fe_b_n,mean
cml103,mexico,fpc2,-0.125688282,fe_b_n,mean
cml196,mexico,fpc2,0.960305751,fe_b_n,mean
cml228,mexico,fpc2,3.320639259,fe_b_n,mean
cml247,mexico,fpc2,3.540853514,fe_b_n,mean
cml254,mexico,fpc2,6.368118918,fe_b_n,mean
cml258,mexico,fpc2,7.243592535,fe_b_n,mean
cml277,mexico,fpc2,3.743216089,fe_b_n,mean
cml281,mexico,fpc2,-2.388458221,fe_b_n,mean
cml287,mexico,fpc2,0.00366026,fe_b_n,mean
cml312,mexico,fpc2,6.217968427,fe_b_n,mean
cml322,mexico,fpc2,-5.186650709,fe_b_n,mean
cml328,mexico,fpc2,5.687198665,fe_b_n,mean
cml331,mexico,fpc2,5.16798279,fe_b_n,mean
cml332,mexico,fpc2,6.188249384,fe_b_n,mean
cml333,mexico,fpc2,-0.236485232,fe_b_n,mean
cml341,mexico,fpc2,4.371231093,fe_b_n,mean
cml373,mexico,fpc2,2.315414404,fe_b_n,mean
cml424,mexico,fpc2,0.824477061,fe_b_n,mean
cml425,mexico,fpc2,1.100918808,fe_b_n,mean
cml440,mexico,fpc2,1.708960294,fe_b_n,mean
cml444,mexico,fpc2,2.759482443,fe_b_n,mean
cml456,mexico,fpc2,-0.330087856,fe_b_n,mean
cml460,mexico,fpc2,-3.050302491,fe_b_n,mean
cml471,mexico,fpc2,-0.464458217,fe_b_n,mean
cml473,mexico,fpc2,1.572457273,fe_b_n,mean
cml5,mexico,fpc2,4.859141826,fe_b_n,mean
cml52,mexico,fpc2,-2.915224595,fe_b_n,mean
cml537,mexico,fpc2,-3.860545292,fe_b_n,mean
cml541,mexico,fpc2,2.307953599,fe_b_n,mean
cml542,mexico,fpc2,3.68380093,fe_b_n,mean
cml545,mexico,fpc2,-1.388461846,fe_b_n,mean
cml550,mexico,fpc2,0.378642081,fe_b_n,mean
cml566,mexico,fpc2,4.592835332,fe_b_n,mean
cml568,mexico,fpc2,8.151414345,fe_b_n,mean
cml570,mexico,fpc2,0.774507273,fe_b_n,mean
cml576,mexico,fpc2,2.35852252,fe_b_n,mean
cml587,mexico,fpc2,-2.324533099,fe_b_n,mean
cml592,mexico,fpc2,2.708543946,fe_b_n,mean
cml593,mexico,fpc2,0.248730671,fe_b_n,mean
cml69,mexico,fpc2,1.750550818,fe_b_n,mean
cuba54_hd102,mexico,fpc2,5.366672686,fe_b_n,mean
cuba54_hd105,mexico,fpc2,5.921287476,fe_b_n,mean
czl04021,mexico,fpc2,1.608155512,fe_b_n,mean
czl1358,mexico,fpc2,-0.206399049,fe_b_n,mean
czl1465,mexico,fpc2,1.247253285,fe_b_n,mean
czl15003,mexico,fpc2,-0.007095175,fe_b_n,mean
czl15007,mexico,fpc2,2.535575574,fe_b_n,mean
czl15081,mexico,fpc2,NA,fe_b_n,mean
czl15123,mexico,fpc2,-1.472162012,fe_b_n,mean
czl15194,mexico,fpc2,1.382344227,fe_b_n,mean
czl15206,mexico,fpc2,1.244549311,fe_b_n,mean
czl16020,mexico,fpc2,0.926664621,fe_b_n,mean
czl16078,mexico,fpc2,1.400549311,fe_b_n,mean
czl17015,mexico,fpc2,0.609002574,fe_b_n,mean
czl20003,mexico,fpc2,-0.805383396,fe_b_n,mean
dtma_236,mexico,fpc2,2.71581121,fe_b_n,mean
dtma_250,mexico,fpc2,0.500526327,fe_b_n,mean
dtma_29,mexico,fpc2,2.890229862,fe_b_n,mean
ecua476_ssd01,mexico,fpc2,-3.744242917,fe_b_n,mean
em1197,mexico,fpc2,-3.206945368,fe_b_n,mean
gcp_193,mexico,fpc2,1.728409101,fe_b_n,mean
guad6_ssd01,mexico,fpc2,4.235287677,fe_b_n,mean
hip9801a,mexico,fpc2,-0.718892444,fe_b_n,mean
hip9802c,mexico,fpc2,1.621901261,fe_b_n,mean
hip9803b,mexico,fpc2,4.383079907,fe_b_n,mean
hip9806a,mexico,fpc2,-4.057835284,fe_b_n,mean
hip9806b,mexico,fpc2,-2.145690082,fe_b_n,mean
hip9810a,mexico,fpc2,0.478632997,fe_b_n,mean
k64r,mexico,fpc2,-0.087589224,fe_b_n,mean
ki11,mexico,fpc2,6.206180964,fe_b_n,mean
ki14,mexico,fpc2,0.87464465,fe_b_n,mean
ki3,mexico,fpc2,5.432228904,fe_b_n,mean
lh123ht,mexico,fpc2,-6.467638337,fe_b_n,mean
lh195,mexico,fpc2,-1.192808902,fe_b_n,mean
lp1037,mexico,fpc2,-2.033886597,fe_b_n,mean
m37w,mexico,fpc2,1.950942504,fe_b_n,mean
mo17,mexico,fpc2,0.030572371,fe_b_n,mean
mor_17,mexico,fpc2,-0.179781381,fe_b_n,mean
nc338,mexico,fpc2,0.343107529,fe_b_n,mean
nc358,mexico,fpc2,-0.9394852,fe_b_n,mean
nilasq4g31i04,mexico,fpc2,1.336952,fe_b_n,mean
nilasq4g31i06,mexico,fpc2,-1.112700797,fe_b_n,mean
nilasq4g41i07,mexico,fpc2,-0.338566468,fe_b_n,mean
nilasq4g71i03,mexico,fpc2,-2.868416624,fe_b_n,mean
oax_70_ssd,mexico,fpc2,NA,fe_b_n,mean
oaxagp1_ssd01,mexico,fpc2,2.242715392,fe_b_n,mean
oh43,mexico,fpc2,-1.368981223,fe_b_n,mean
pdz687_hd105,mexico,fpc2,-2.449785882,fe_b_n,mean
pdz689_hd201,mexico,fpc2,1.235911355,fe_b_n,mean
ph207,mexico,fpc2,-0.461541711,fe_b_n,mean
sc_malawi,mexico,fpc2,9.136963654,fe_b_n,mean
tams_125,mexico,fpc2,0.377126591,fe_b_n,mean
tx601,mexico,fpc2,4.730149509,fe_b_n,mean
tzi8,mexico,fpc2,-0.408332483,fe_b_n,mean
tzi9,mexico,fpc2,-1.207657261,fe_b_n,mean
vl1018816,mexico,fpc2,-1.831740527,fe_b_n,mean
vl1253,mexico,fpc2,-0.222525255,fe_b_n,mean
2369,mexico,longest_leaf,72.91506624,fe_b_n,mean
b104,mexico,longest_leaf,92.08159753,fe_b_n,mean
b37,mexico,longest_leaf,71.5597434,fe_b_n,mean
b73,mexico,longest_leaf,75.79456908,fe_b_n,mean
ba90,mexico,longest_leaf,78.80750903,fe_b_n,mean
barb5_ssd01,mexico,longest_leaf,69.88443254,fe_b_n,mean
bov_635,mexico,longest_leaf,74.43958134,fe_b_n,mean
brvi142_hd102,mexico,longest_leaf,80.7756175,fe_b_n,mean
cal14113,mexico,longest_leaf,85.77954791,fe_b_n,mean
cal1440,mexico,longest_leaf,93.32742682,fe_b_n,mean
cal1469,mexico,longest_leaf,97.66095218,fe_b_n,mean
cal152,mexico,longest_leaf,64.72634505,fe_b_n,mean
cla105,mexico,longest_leaf,87.93174277,fe_b_n,mean
cla127,mexico,longest_leaf,71.66701441,fe_b_n,mean
cla41,mexico,longest_leaf,82.7075567,fe_b_n,mean
cml10,mexico,longest_leaf,87.46536938,fe_b_n,mean
cml103,mexico,longest_leaf,80.27890585,fe_b_n,mean
cml196,mexico,longest_leaf,81.69694462,fe_b_n,mean
cml228,mexico,longest_leaf,78.57510611,fe_b_n,mean
cml247,mexico,longest_leaf,80.85599092,fe_b_n,mean
cml254,mexico,longest_leaf,87.6275626,fe_b_n,mean
cml258,mexico,longest_leaf,89.67365617,fe_b_n,mean
cml277,mexico,longest_leaf,77.0043842,fe_b_n,mean
cml281,mexico,longest_leaf,77.6978394,fe_b_n,mean
cml287,mexico,longest_leaf,84.77655171,fe_b_n,mean
cml312,mexico,longest_leaf,70.00126393,fe_b_n,mean
cml322,mexico,longest_leaf,77.48091023,fe_b_n,mean
cml328,mexico,longest_leaf,80.56565031,fe_b_n,mean
cml331,mexico,longest_leaf,90.93207753,fe_b_n,mean
cml332,mexico,longest_leaf,83.76088497,fe_b_n,mean
cml333,mexico,longest_leaf,77.5167434,fe_b_n,mean
cml341,mexico,longest_leaf,90.0752125,fe_b_n,mean
cml373,mexico,longest_leaf,86.84047479,fe_b_n,mean
cml424,mexico,longest_leaf,76.01007237,fe_b_n,mean
cml425,mexico,longest_leaf,62.65804263,fe_b_n,mean
cml440,mexico,longest_leaf,72.62999021,fe_b_n,mean
cml444,mexico,longest_leaf,83.76273581,fe_b_n,mean
cml456,mexico,longest_leaf,73.37536647,fe_b_n,mean
cml460,mexico,longest_leaf,82.1420848,fe_b_n,mean
cml471,mexico,longest_leaf,63.83111348,fe_b_n,mean
cml473,mexico,longest_leaf,72.03114679,fe_b_n,mean
cml5,mexico,longest_leaf,77.46696866,fe_b_n,mean
cml52,mexico,longest_leaf,82.61869193,fe_b_n,mean
cml537,mexico,longest_leaf,72.81434625,fe_b_n,mean
cml541,mexico,longest_leaf,74.49497979,fe_b_n,mean
cml542,mexico,longest_leaf,72.31502936,fe_b_n,mean
cml545,mexico,longest_leaf,74.08503075,fe_b_n,mean
cml550,mexico,longest_leaf,75.75309553,fe_b_n,mean
cml566,mexico,longest_leaf,91.32126711,fe_b_n,mean
cml568,mexico,longest_leaf,80.17119247,fe_b_n,mean
cml570,mexico,longest_leaf,76.07577829,fe_b_n,mean
cml576,mexico,longest_leaf,81.87983041,fe_b_n,mean
cml587,mexico,longest_leaf,74.27045364,fe_b_n,mean
cml592,mexico,longest_leaf,84.16005142,fe_b_n,mean
cml593,mexico,longest_leaf,84.13004811,fe_b_n,mean
cml69,mexico,longest_leaf,87.31282071,fe_b_n,mean
cuba54_hd102,mexico,longest_leaf,75.0375444,fe_b_n,mean
cuba54_hd105,mexico,longest_leaf,84.54247742,fe_b_n,mean
czl04021,mexico,longest_leaf,65.42917213,fe_b_n,mean
czl1358,mexico,longest_leaf,96.14289868,fe_b_n,mean
czl1465,mexico,longest_leaf,89.60524053,fe_b_n,mean
czl15003,mexico,longest_leaf,68.38890286,fe_b_n,mean
czl15007,mexico,longest_leaf,79.22894461,fe_b_n,mean
czl15081,mexico,longest_leaf,NA,fe_b_n,mean
czl15123,mexico,longest_leaf,75.74421858,fe_b_n,mean
czl15194,mexico,longest_leaf,76.05399566,fe_b_n,mean
czl15206,mexico,longest_leaf,93.41465642,fe_b_n,mean
czl16020,mexico,longest_leaf,87.51885248,fe_b_n,mean
czl16078,mexico,longest_leaf,85.96626435,fe_b_n,mean
czl17015,mexico,longest_leaf,81.19223449,fe_b_n,mean
czl20003,mexico,longest_leaf,86.36415856,fe_b_n,mean
dtma_236,mexico,longest_leaf,83.04591123,fe_b_n,mean
dtma_250,mexico,longest_leaf,67.7493778,fe_b_n,mean
dtma_29,mexico,longest_leaf,74.52100421,fe_b_n,mean
ecua476_ssd01,mexico,longest_leaf,78.17052231,fe_b_n,mean
em1197,mexico,longest_leaf,75.23833111,fe_b_n,mean
gcp_193,mexico,longest_leaf,72.27127038,fe_b_n,mean
guad6_ssd01,mexico,longest_leaf,86.59535653,fe_b_n,mean
hip9801a,mexico,longest_leaf,76.53170935,fe_b_n,mean
hip9802c,mexico,longest_leaf,72.04080143,fe_b_n,mean
hip9803b,mexico,longest_leaf,88.20444307,fe_b_n,mean
hip9806a,mexico,longest_leaf,86.29796906,fe_b_n,mean
hip9806b,mexico,longest_leaf,82.10485264,fe_b_n,mean
hip9810a,mexico,longest_leaf,81.68403465,fe_b_n,mean
k64r,mexico,longest_leaf,69.16462086,fe_b_n,mean
ki11,mexico,longest_leaf,86.62547725,fe_b_n,mean
ki14,mexico,longest_leaf,83.00061593,fe_b_n,mean
ki3,mexico,longest_leaf,77.78543354,fe_b_n,mean
lh123ht,mexico,longest_leaf,74.27548574,fe_b_n,mean
lh195,mexico,longest_leaf,77.52122546,fe_b_n,mean
lp1037,mexico,longest_leaf,55.53755498,fe_b_n,mean
m37w,mexico,longest_leaf,82.16113699,fe_b_n,mean
mo17,mexico,longest_leaf,70.62980429,fe_b_n,mean
mor_17,mexico,longest_leaf,67.42231437,fe_b_n,mean
nc338,mexico,longest_leaf,65.36320859,fe_b_n,mean
nc358,mexico,longest_leaf,59.46386489,fe_b_n,mean
nilasq4g31i04,mexico,longest_leaf,75.79924897,fe_b_n,mean
nilasq4g31i06,mexico,longest_leaf,77.84741956,fe_b_n,mean
nilasq4g41i07,mexico,longest_leaf,75.72267304,fe_b_n,mean
nilasq4g71i03,mexico,longest_leaf,75.01193231,fe_b_n,mean
oax_70_ssd,mexico,longest_leaf,NA,fe_b_n,mean
oaxagp1_ssd01,mexico,longest_leaf,87.12733919,fe_b_n,mean
oh43,mexico,longest_leaf,76.98164211,fe_b_n,mean
pdz687_hd105,mexico,longest_leaf,60.2920021,fe_b_n,mean
pdz689_hd201,mexico,longest_leaf,60.11583181,fe_b_n,mean
ph207,mexico,longest_leaf,71.52779691,fe_b_n,mean
sc_malawi,mexico,longest_leaf,89.75366989,fe_b_n,mean
tams_125,mexico,longest_leaf,83.24513775,fe_b_n,mean
tx601,mexico,longest_leaf,82.24635127,fe_b_n,mean
tzi8,mexico,longest_leaf,74.96332496,fe_b_n,mean
tzi9,mexico,longest_leaf,83.37415557,fe_b_n,mean
vl1018816,mexico,longest_leaf,79.69030257,fe_b_n,mean
vl1253,mexico,longest_leaf,81.8264194,fe_b_n,mean
2369,mexico,longest_leaf_pos,0.617735925,fe_b_n,mean
b104,mexico,longest_leaf_pos,0.666959064,fe_b_n,mean
b37,mexico,longest_leaf_pos,0.62962963,fe_b_n,mean
b73,mexico,longest_leaf_pos,0.646140351,fe_b_n,mean
ba90,mexico,longest_leaf_pos,0.722222222,fe_b_n,mean
barb5_ssd01,mexico,longest_leaf_pos,0.688429407,fe_b_n,mean
bov_635,mexico,longest_leaf_pos,0.660130719,fe_b_n,mean
brvi142_hd102,mexico,longest_leaf_pos,0.696881092,fe_b_n,mean
cal14113,mexico,longest_leaf_pos,0.718614719,fe_b_n,mean
cal1440,mexico,longest_leaf_pos,0.607212476,fe_b_n,mean
cal1469,mexico,longest_leaf_pos,0.656862745,fe_b_n,mean
cal152,mexico,longest_leaf_pos,0.661904762,fe_b_n,mean
cla105,mexico,longest_leaf_pos,0.666666667,fe_b_n,mean
cla127,mexico,longest_leaf_pos,0.578070175,fe_b_n,mean
cla41,mexico,longest_leaf_pos,0.684210526,fe_b_n,mean
cml10,mexico,longest_leaf_pos,0.672239641,fe_b_n,mean
cml103,mexico,longest_leaf_pos,0.633542189,fe_b_n,mean
cml196,mexico,longest_leaf_pos,0.662828283,fe_b_n,mean
cml228,mexico,longest_leaf_pos,0.692810458,fe_b_n,mean
cml247,mexico,longest_leaf_pos,0.676767677,fe_b_n,mean
cml254,mexico,longest_leaf_pos,0.697510823,fe_b_n,mean
cml258,mexico,longest_leaf_pos,0.692803422,fe_b_n,mean
cml277,mexico,longest_leaf_pos,0.682116834,fe_b_n,mean
cml281,mexico,longest_leaf_pos,0.643115942,fe_b_n,mean
cml287,mexico,longest_leaf_pos,0.64484127,fe_b_n,mean
cml312,mexico,longest_leaf_pos,0.733333333,fe_b_n,mean
cml322,mexico,longest_leaf_pos,0.572394221,fe_b_n,mean
cml328,mexico,longest_leaf_pos,0.718055556,fe_b_n,mean
cml331,mexico,longest_leaf_pos,0.655555556,fe_b_n,mean
